step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
68,,,,,2.0180092178634368e-05,0.021851621568202972,0.0005563805461861193,0.0005563805461861193,,,,,,
69,,,,,2.0358884285087697e-05,0.022475624457001686,0.000572070071939379,0.000572070071939379,,,,,,
70,2.414505615888629e-05,0.0642375499010086,0.00161801150534302,0.00161801150534302,2.019888961513061e-05,0.021691342815756798,0.0005523830186575651,0.0005523830186575651,90.00582411182295,90.5,2.787947654724121,2.787947654724121,2.734243392944336,2.7342429161071777
71,,,,,2.0482812033151276e-05,0.022928478196263313,0.0005834533367305994,0.0005834533367305994,,,,,,
72,,,,,2.3532224076916464e-05,0.022933803498744965,0.0005851112073287368,0.0005851112073287368,,,,,,
73,,,,,2.1686984837288037e-05,0.022748136892914772,0.0005795469623990357,0.0005795469623990357,,,,,,
74,,,,,2.107818545482587e-05,0.02104276418685913,0.0005366082186810672,0.0005366082186810672,,,,,,
75,,,,,2.1568799638771452e-05,0.02286663092672825,0.0005824501859024167,0.0005824501859024167,,,,,,
76,,,,,2.3026939743431285e-05,0.021645689383149147,0.0005526557215489447,0.0005526557215489447,,,,,,
77,,,,,2.278441570524592e-05,0.023230895400047302,0.000592164637055248,0.000592164637055248,,,,,,
78,,,,,2.1865653252461925e-05,0.021804584190249443,0.0005560473655350506,0.0005560473655350506,,,,,,
79,,,,,1.830481232900638e-05,0.020665129646658897,0.0005257806624285877,0.0005257806624285877,,,,,,
80,2.82020428130636e-05,0.06861317157745361,0.0017294303979724646,0.0017294303979724646,2.0457691789488308e-05,0.021490732207894325,0.0005474971840158105,0.0005474971840158105,89.3302271403611,89.50000000000001,2.8343162536621094,2.8343160152435303,2.8122940063476562,2.8122942447662354
81,,,,,1.8183834981755354e-05,0.019621530547738075,0.0004996301722712815,0.0004996301722712815,,,,,,
82,,,,,1.9574828911572695e-05,0.020610548555850983,0.0005250510876066983,0.0005250510876066983,,,,,,
83,,,,,1.929261088662315e-05,0.020613018423318863,0.0005249718087725341,0.0005249718087725341,,,,,,
84,,,,,2.2546759282704443e-05,0.022458145394921303,0.0005727270618081093,0.0005727270618081093,,,,,,
85,,,,,2.0816736650886014e-05,0.02130422554910183,0.0005430140299722552,0.0005430140299722552,,,,,,
86,,,,,1.8455581084708683e-05,0.02048836648464203,0.0005214369739405811,0.0005214369739405811,,,,,,
87,,,,,1.862180397438351e-05,0.020152581855654716,0.0005131255020387471,0.0005131255020387471,,,,,,
88,,,,,1.9058139514527284e-05,0.020590100437402725,0.0005242815823294222,0.0005242815823294222,,,,,,
89,,,,,1.8056274711852893e-05,0.020245032384991646,0.0005151539808139205,0.0005151539808139205,,,,,,
90,3.098672459600493e-05,0.07002229243516922,0.0017660504672676325,0.0017660504672676325,1.91519739018986e-05,0.02107175625860691,0.0005363698583096266,0.0005363698583096266,91.55665566556655,92.0,2.9202871322631836,2.9202873706817627,2.9008164405822754,2.9008164405822754
91,,,,,1.8382159396423958e-05,0.01985720731317997,0.000505621253978461,0.000505621253978461,,,,,,
92,,,,,1.912999687192496e-05,0.019795438274741173,0.0005044509889557958,0.0005044509889557958,,,,,,
93,,,,,1.7413329260307364e-05,0.019386257976293564,0.0004933631862513721,0.0004933631862513721,,,,,,
94,,,,,1.9664863430080004e-05,0.020569441840052605,0.000524068484082818,0.000524068484082818,,,,,,
95,,,,,1.948420685948804e-05,0.018943864852190018,0.00048333872109651566,0.00048333872109651566,,,,,,
96,,,,,1.665141826379113e-05,0.01889435201883316,0.00048068450996652246,0.00048068450996652246,,,,,,
97,,,,,2.0371362552396022e-05,0.01965884305536747,0.0005016567301936448,0.0005016567301936448,,,,,,
98,,,,,1.7480053429608233e-05,0.019239043816924095,0.0004897161270491779,0.0004897161270491779,,,,,,
99,,,,,1.9669574612635188e-05,0.02003781683743,0.0005107802571728826,0.0005107802571728826,,,,,,
100,2.7354422854841687e-05,0.07112889736890793,0.001791900023818016,0.001791900023818016,1.9674434952321462e-05,0.020558975636959076,0.0005238116136752069,0.0005238116136752069,90.6100110011001,92.00000000000001,2.881685495376587,2.881685495376587,2.8438243865966797,2.8438243865966797
